"ntaxa"	"mntd.obs"	"mntd.rand.mean"	"mntd.rand.sd"	"mntd.obs.rank"	"mntd.obs.z"	"mntd.obs.p"	"runs"
"Batesia hypochlora"	2	123.7924	279.661954848485	101.244015384342	1	-1.53954339184171	0.01	99
"Battus belus"	2	176.8466	260.609469515152	62.2394110621738	3	-1.34581719340944	0.03	99
"Battus polydamas"	2	176.8466	260.609469515152	62.2394110621738	3	-1.34581719340944	0.03	99
"Bebearia sophus"	2	224.681982	275.004282292929	88.4304669521404	5	-0.569060664580277	0.05	99
"Belenois calypso"	2	237.158201	272.294169868687	90.9867556829571	15	-0.386165751322291	0.15	99
"Belenois creona"	3	221.500819666667	252.550708936027	41.8608849876091	12	-0.741739914924186	0.12	99
"Belenois java"	2	138.5406	275.303411131313	98.2574503288531	1	-1.39188235267238	0.01	99
"Belenois subeida"	2	138.5406	275.303411131313	98.2574503288531	1	-1.39188235267238	0.01	99
"Berberia abdelkader"	2	95.4795	287.043633616162	116.81096047351	1	-1.63994999133326	0.01	99
"Bhagadatta austenia"	2	271.825245	281.152340454545	112.008963013114	86	-0.0832709740688652	0.86	99
"Bhutanitis mansfieldi"	2	176.8466	260.609469515152	62.2394110621738	3	-1.34581719340944	0.03	99
"Bhutanitis thaidina"	2	176.8466	260.609469515152	62.2394110621738	3	-1.34581719340944	0.03	99
"Bia actorion"	2	99.1432	282.792666393939	112.934468295496	2	-1.62615956993232	0.02	99
"Bibasis sena"	3	240.595170333333	251.015278501684	43.185272129603	35	-0.241288468371311	0.35	99
"Biblis hyperia"	2	231.572149	283.011743747475	111.074086445661	13	-0.463110671386344	0.13	99
"Bicyclus anynana"	2	95.4795	287.043633616162	116.81096047351	1	-1.63994999133326	0.01	99
"Bindahara phocides"	3	236.870606666667	250.611310181818	50.2815474944871	27	-0.273275270946227	0.27	99
"Boloria pales"	3	224.811972	254.447255208754	50.1357204092997	13	-0.59110117430879	0.13	99
"Borbo borbonica"	2	95.4795	287.043633616162	116.81096047351	1	-1.63994999133326	0.01	99
"Borbo cinnara"	2	95.4795	287.043633616162	116.81096047351	1	-1.63994999133326	0.01	99
"Brassolis sophorae"	3	143.15358	255.739196875421	56.5731357038261	1	-1.99008973914463	0.01	99
"Brenthis daphne"	2	231.572226	272.933921050505	100.194404741526	13	-0.412814419699451	0.13	99
"Brenthis ino"	5	204.1528252	244.597523511111	38.6692668133597	12	-1.04591324439433	0.12	99
"Brephidium exilis"	3	197.050196666667	252.430587575758	46.6201656104376	7	-1.18790635305448	0.07	99
"Brevioleria arzalia"	2	79.32	278.692871606061	106.936160775627	1	-1.86441022531549	0.01	99
"Brintesia circe"	2	187.64298	287.826340909091	116.45197113822	1	-0.860297682640169	0.01	99
"Bungalotis astylos"	2	93.3981	283.159976737374	107.307235141099	1	-1.76839778313041	0.01	99
"Bungalotis erythus"	2	120	270.498370070707	80.4437116364873	1	-1.8708531345593	0.01	99
"Burara harisa"	3	232.827833333333	247.567928414141	48.7938406013218	25	-0.302089257561103	0.25	99
"Burara oedipodea"	2	237.158208	280.922576636364	104.905082080283	20	-0.417180633850236	0.2	99
"Burmaozephyrus kothayaungi"	2	80.4628	255.835765373737	60.3672058654657	1	-2.90510324040131	0.01	99
"Butleria flavomaculatus"	2	95.4795	287.043633616162	116.81096047351	1	-1.63994999133326	0.01	99
"Byblia anvatara"	2	247.468941	272.250092444444	89.9784449002341	34	-0.275412088661025	0.34	99
"Byblia ilithyia"	2	123.7924	279.661954848485	101.244015384342	1	-1.53954339184171	0.01	99
"Cabares potrillo"	2	61.1816	267.885685232323	80.8638652796558	1	-2.55619842704115	0.01	99
"Cacyreus lingeus"	2	247.46917	276.043430313131	107.170308546975	45	-0.266624783492219	0.45	99
"Caenides dacela"	2	99.1432	282.792666393939	112.934468295496	2	-1.62615956993232	0.02	99
"Calephelis nemesis"	2	263.36209	271.351010555556	90.4425365168485	56	-0.0883314518060567	0.56	99
"Calephelis perditalis"	2	90.5191	280.34093749495	104.12746855498	1	-1.82297562909371	0.01	99
"Calephelis virginiensis"	2	90.5191	280.34093749495	104.12746855498	1	-1.82297562909371	0.01	99
"Caleta caleta"	2	102.7964	259.821325282828	77.3320983613549	3	-2.03052714991759	0.03	99
"Caligo eurilochus"	5	122.607474	242.684123507071	40.1149928180215	1	-2.99331100598196	0.01	99
"Calinaga buddha"	2	84.9278	260.548539151515	58.6451062776412	1	-2.99463587498812	0.01	99
"Calleagris jamesoni"	2	192	271.815056828283	90.009529642657	4	-0.886740072358485	0.04	99
"Callerebia annada"	2	95.4795	287.043633616162	116.81096047351	1	-1.63994999133326	0.01	99
"Callicore astarte"	2	121.5324	275.348022080808	97.6630343911144	1	-1.57496255404903	0.01	99
"Callithomia lenea"	2	79.32	278.692871606061	106.936160775627	1	-1.86441022531549	0.01	99
