PD	SR
Limenitis sulpitia	325.050432	1
Lipaphnaeus aderna	0	0
Liphyra brassolis	0	0
Logania malayica	0	0
Lopinga deidamia	325.050732	1
Lotongus calathus	325.050282	1
Loxura atymnus	444.822932	2
Lucia limbaria	325.050771	1
Lucinia cadma	325.050552	1
Luehdorfia japonica	325.05077	1
Luehdorfia puziloi	325.05077	1
Luthrodes cleotas	325.0504	1
Lycaena hippothoe	325.050152	1
Lycas argentea	0	0
Lychnuchoides ozias	0	0
Lycorea halia	567.364235	3
Lysandra coridon	325.050502	1
Macrosoma hyacinthina	0	0
Macrosoma rubedinaria	0	0
Macrosoma tipulata	0	0
Magnastigma hirsuta	0	0
Magneuptychia alcinoe	0	0
Magneuptychia libye	325.050732	1
Magneuptychia ocnus	0	0
Mahathala ameria	325.050651	1
Manataria hercyna	325.050732	1
Mandarinia regalis	0	0
Maniola jurtina	325.050732	1
Manto hypoleuca	0	0
Marpesia eleuchea	325.050862	1
Matapa aria	325.050732	1
Mathania aureomaculata	0	0
Maurus vogelii	0	0
Mcclungia cymo	325.050802	1
Meandrusa lachinus	0	0
Mechanitis lysimnia	325.050802	1
Mechanitis polymnia	325.050802	1
Megathymus streckeri	325.050132	1
Megathymus ursus	325.050132	1
Megathymus yuccae	325.050132	1
Megeuptychia antonoe	0	0
Megisba malaya	559.416123	3
Megisto cymela	325.050732	1
Megisto rubricata	0	0
Melampias huebneri	325.050732	1
Melanargia galathea	325.050732	1
Melanis pixe	325.050502	1
Melanitis leda	325.050732	1
Melanocyma faunula	0	0
Melanolycaena altimontana	0	0
Melete lycimnia	0	0
Melinaea menophilus	0	0
Melitaea cinxia	431.792032	2
Melphinyet flavina	0	0
Melphinyet tarace	0	0
Memphis pithyusa	325.050651	1
Mesene croceella	0	0
Mesene phareus	0	0
Mesodina halyzia	325.050232	1
Mesosemia grandis	325.050502	1
Mesoxantha ethosea	0	0
Mestra dorcas	325.050651	1
Metacharis umbrata	0	0
Metamorpha elissa	0	0
Methona themisto	325.050802	1
Metisella metis	325.050732	1
Meza meza	0	0
Michaelus ira	0	0
Microceris variicolor	0	0
Microtia elva	0	0
Miletus symethus	0	0
Mimathyma chevana	325.050862	1
Mimeresia libentina	0	0
Mimoides xynias	0	0
Mimoniades ocyalus	0	0
Ministrymon leda	325.050502	1
Minois dryas	418.872232	2
Mnasilus allubita	0	0
Moduza procris	325.050502	1
Moeros moeros	0	0
Monza punctata	0	0
Morpho helenor	564.571097	3
Morphopsis albertisi	0	0
Morvina morvus	0	0
Morys compta	0	0
Mota massyla	0	0
Motasingha trimaculata	325.050752	1
Mycalesis francisca	325.050732	1
Mycalesis tagala	0	0
Mygona irmina	0	0
Mylothris chloris	406.52363	2
Myrina silenus	325.050862	1
Myscelia cyaniris	325.050651	1
Myscelia orsis	0	0
Myscelus amystis	325.050854	1
Myscelus belti	0	0
Myscelus epimachia	0	0
Myscelus nobilis	325.05007	1
Mysoria barcastus	325.050658	1
Nabokovia faga	0	0
Nacaduba kurava	553.043916	3
Napaea eucharila	325.051232	1
Napeocles jucunda	0	0
Narcosius colossus	0	0
Nascus phocus	0	0
Nastra julia	325.050732	1
Nathalis iole	568.659122	3
Neita neita	0	0
Nelia nemyroides	0	0
Neocoenyra duplex	0	0
Neohesperilla croceus	325.050732	1
Neohesperilla xanthomera	325.050732	1
Neolucia agricola	325.050502	1
Neolysandra diana	0	0
Neominois ridingsii	325.050732	1
Neomyrina nivea	0	0
Neonympha areolatus	418.872232	2
Neophasia menapia	325.0504	1
Neopithecops zalmora	325.049924	1
Neorina crishna	0	0
Neoxeniades braesia	0	0
Neozephyrus japonica	325.050508	1
Neozephyrus orientalis	325.050512	1
Neptidopsis ophione	325.050651	1
Neptis sappho	635.502025	4
Neruda aoede	0	0
Nesolycaena albosericea	325.049924	1
Nesoxenica leprea	325.050752	1
Nessaea aglaura	325.050651	1
Netrobalane canopus	325.050645	1
Netrocoryne repanda	923.914496	6
Neurellipes lusones	0	0
Nica flavilla	325.050844	1
Ninguta schrenkii	418.872232	2
Niphanda fusca	0	0
Noctuana haematospila	0	0
Nosea hainanensis	0	0
Notheme erota	0	0
Nothodanis schaeffera	0	0
Notocrypta curvifascia	429.443172	3
Notocrypta feisthamelii	325.050972	1
Nyctelius nyctelius	325.050732	1
Nymphalis antiopa	730.117614	5
Nymphalis xanthomelas	638.585411	4
Nymphidium caricae	0	0
Nymphidium onaeum	325.050502	1
Oarisma garita	325.050732	1
Oboronia punctatus	325.050972	1
Ocaria ocrisia	0	0
Ochlodes sylvanoides	325.050732	1
Ocybadistes flavovittata	325.050732	1
Ocybadistes walkeri	439.651442	2
