Lep_family,Lep_accepted_name,PD,Num.families,mpd.obs,mpd.obs.z,mntd.obs,mntd.obs.z,host.module
Hesperiidae,Ochlodes sylvanoides,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,8
Hesperiidae,Ocybadistes flavovittata,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,8
Hesperiidae,Ocybadistes walkeri,533.472942,3,215.34888,-0.795490332,201.4959267,-1.152596629,8
Hesperiidae,Odina hieroglyphica,325.050802,1,103.1855,-1.772676485,103.1855,-1.862092505,6
Hesperiidae,Odontoptilum angulata,429.309384,2,208.517279,-0.756205115,208.517279,-0.630455445,13
Hesperiidae,Oerane microthyrus,325.050282,1,99.1432,-2.08219519,99.1432,-1.62615957,3
Hesperiidae,Oileides azines,325.050502,1,192,-0.773400109,192,-0.886740072,NA
Hesperiidae,Oligoria maculata,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,8
Hesperiidae,Onophas columbaria,325.050282,1,99.1432,-2.08219519,99.1432,-1.62615957,3
Hesperiidae,Oreisplanus munionga,325.050752,1,89.2401,-2.872645818,89.2401,-1.701793384,8
Hesperiidae,Oriens gola,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,8
Hesperiidae,Orphe gerasa,325.050282,1,99.1432,-2.08219519,99.1432,-1.62615957,3
Hesperiidae,Orses cynisca,325.050282,1,99.1432,-2.08219519,99.1432,-1.62615957,3
Hesperiidae,Osmodes laronia,325.050952,1,54.2995,-2.85844189,54.2995,-4.234056668,8
Hesperiidae,Oxynetra stangelandi,325.050892,1,189.1223,-0.752323687,189.1223,-0.760538946,6
Hesperiidae,Oxynthes corusca,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,8
Hesperiidae,Panoquina lucas,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,8
Hesperiidae,Panoquina ocola,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,8
Hesperiidae,Panoquina panoquin,418.872232,2,187.64298,-1.155152917,187.64298,-0.860297683,8
Hesperiidae,Papias subcostulata,325.050752,1,89.2401,-2.872645818,89.2401,-1.701793384,8
Hesperiidae,Paracarystus hypargyra,325.050752,1,89.2401,-2.872645818,89.2401,-1.701793384,8
Hesperiidae,Parachoranthus magdalia,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,8
Hesperiidae,Paramimus scurra,460.963185,2,271.825175,0.023282191,271.825175,-0.016085402,1
Hesperiidae,Paratrytone snowi,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,8
Hesperiidae,Pardaleodes edipus,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,8
Hesperiidae,Pardaleodes incerta,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,8
Hesperiidae,Parelbella ahira,460.962885,2,271.824775,-0.00370565,271.824775,0.092621764,9
Hesperiidae,Parelbella macleannani,325.050685,1,115.2222,-1.687745669,115.2222,-2.808993633,9
Hesperiidae,Parnara apostata,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,8
